ID,Name,Age,Nationality,Overall,Club,Value,Pos_simp,Weight,Finishing,Acceleration,Dribbling,Stamina,Strength,Vision,Positioning,GKReflexes,Height_cm
194765,A. Griezmann,27,France,89,Atlético Madrid,€78M,MID,73.03,90.0,88.0,88.0,83.0,62.0,83.0,91.0,14.0,175.26
192448,M. ter Stegen,26,Germany,89,FC Barcelona,€58M,GK,84.82,14.0,38.0,17.0,35.0,79.0,69.0,11.0,90.0,187.96
192119,T. Courtois,26,Belgium,89,Real Madrid,€53.5M,GK,96.16,14.0,46.0,13.0,38.0,70.0,44.0,13.0,88.0,198.12
189511,Sergio Busquets,29,Spain,89,FC Barcelona,€51.5M,MID,76.2,67.0,50.0,80.0,86.0,77.0,87.0,77.0,13.0,187.96
179813,E. Cavani,31,Uruguay,89,Paris Saint-Germain,€60M,ATT,77.11,89.0,75.0,80.0,92.0,78.0,77.0,93.0,10.0,185.42
167495,M. Neuer,32,Germany,89,FC Bayern München,€38M,GK,92.08,13.0,54.0,30.0,43.0,80.0,70.0,12.0,87.0,193.04
153079,S. Agüero,30,Argentina,89,Manchester City,€64.5M,ATT,69.85,93.0,88.0,89.0,76.0,73.0,83.0,92.0,14.0,172.72
138956,G. Chiellini,33,Italy,89,Juventus,€27M,DEF,84.82,33.0,63.0,58.0,65.0,89.0,50.0,28.0,3.0,187.96
231747,K. Mbappé,19,France,88,Paris Saint-Germain,€81M,MID,73.03,88.0,96.0,90.0,83.0,71.0,82.0,88.0,6.0,177.8
209331,M. Salah,26,Egypt,88,Liverpool,€69.5M,MID,71.21,90.0,94.0,89.0,84.0,70.0,82.0,90.0,14.0,175.26
200145,Casemiro,26,Brazil,88,Real Madrid,€59.5M,MID,83.91,59.0,59.0,69.0,87.0,89.0,77.0,69.0,12.0,185.42
198710,J. Rodríguez,26,Colombia,88,FC Bayern München,€69.5M,MID,78.02,83.0,73.0,85.0,70.0,68.0,89.0,80.0,14.0,180.34
198219,L. Insigne,27,Italy,88,Napoli,€62M,ATT,58.97,77.0,94.0,90.0,75.0,44.0,87.0,83.0,10.0,162.56
197781,Isco,26,Spain,88,Real Madrid,€73.5M,ATT,78.93,79.0,75.0,94.0,70.0,59.0,89.0,78.0,6.0,175.26
190460,C. Eriksen,26,Denmark,88,Tottenham Hotspur,€73.5M,MID,76.2,80.0,75.0,84.0,92.0,58.0,91.0,83.0,6.0,180.34
189242,Coutinho,26,Brazil,88,FC Barcelona,€69.5M,ATT,68.04,79.0,89.0,91.0,79.0,61.0,90.0,84.0,6.0,172.72
188567,P. Aubameyang,29,Gabon,88,Arsenal,€59M,MID,79.83,88.0,93.0,79.0,76.0,76.0,77.0,90.0,9.0,187.96
178603,M. Hummels,29,Germany,88,FC Bayern München,€46M,DEF,92.08,55.0,53.0,68.0,66.0,84.0,79.0,56.0,6.0,190.5
176676,Marcelo,30,Brazil,88,Real Madrid,€43M,DEF,79.83,70.0,83.0,90.0,91.0,78.0,82.0,85.0,9.0,175.26
173731,G. Bale,28,Wales,88,Real Madrid,€60M,ATT,82.1,86.0,94.0,87.0,75.0,80.0,79.0,85.0,6.0,185.42
167948,H. Lloris,31,France,88,Tottenham Hotspur,€36M,GK,82.1,10.0,65.0,10.0,41.0,43.0,30.0,10.0,92.0,187.96
167664,G. Higuaín,30,Argentina,88,Milan,€57M,ATT,88.9,92.0,73.0,84.0,70.0,85.0,74.0,92.0,10.0,185.42
164240,Thiago Silva,33,Brazil,88,Paris Saint-Germain,€24M,DEF,82.1,38.0,70.0,62.0,74.0,82.0,72.0,59.0,10.0,182.88
162835,S. Handanovič,33,Slovenia,88,Inter,€30M,GK,92.08,10.0,51.0,12.0,41.0,71.0,41.0,12.0,89.0,193.04
1179,G. Buffon,40,Italy,88,Paris Saint-Germain,€4M,GK,92.08,15.0,49.0,26.0,39.0,69.0,50.0,12.0,83.0,193.04
205600,S. Umtiti,24,France,87,FC Barcelona,€57M,DEF,74.84,51.0,71.0,69.0,78.0,84.0,58.0,58.0,15.0,182.88
201399,M. Icardi,25,Argentina,87,Inter,€64.5M,ATT,74.84,91.0,77.0,77.0,72.0,76.0,64.0,92.0,9.0,180.34
201024,K. Koulibaly,27,Senegal,87,Napoli,€51M,DEF,88.9,19.0,68.0,66.0,71.0,94.0,43.0,24.0,5.0,187.96
195864,P. Pogba,25,France,87,Manchester United,€64M,MID,83.91,73.0,71.0,87.0,88.0,89.0,87.0,81.0,3.0,193.04
193041,K. Navas,31,Costa Rica,87,Real Madrid,€30.5M,GK,79.83,15.0,54.0,16.0,39.0,75.0,68.0,16.0,90.0,185.42
192505,R. Lukaku,25,Belgium,87,Manchester United,€62.5M,ATT,93.89,87.0,77.0,80.0,84.0,94.0,76.0,89.0,10.0,190.5
192387,C. Immobile,28,Italy,87,Lazio,€52M,ATT,84.82,90.0,78.0,83.0,80.0,76.0,65.0,91.0,6.0,185.42
189332,Jordi Alba,29,Spain,87,FC Barcelona,€38M,DEF,68.04,73.0,93.0,80.0,91.0,61.0,70.0,79.0,13.0,170.18
175943,D. Mertens,31,Belgium,87,Napoli,€45M,ATT,60.78,86.0,93.0,91.0,75.0,42.0,83.0,87.0,4.0,170.18
172871,J. Vertonghen,31,Belgium,87,Tottenham Hotspur,€34M,DEF,86.18,56.0,61.0,71.0,75.0,79.0,68.0,60.0,7.0,187.96
171877,M. Hamšík,30,Slovakia,87,Napoli,€46.5M,MID,78.93,79.0,69.0,86.0,84.0,67.0,86.0,88.0,14.0,182.88
168651,I. Rakitić,30,Croatia,87,FC Barcelona,€46.5M,MID,78.02,83.0,66.0,84.0,84.0,66.0,86.0,79.0,9.0,182.88
152729,Piqué,31,Spain,87,FC Barcelona,€34M,DEF,84.82,64.0,49.0,59.0,65.0,83.0,62.0,58.0,8.0,193.04
222492,L. Sané,22,Germany,86,Manchester City,€61M,ATT,74.84,81.0,93.0,88.0,79.0,70.0,82.0,84.0,14.0,182.88
218667,Bernardo Silva,23,Portugal,86,Manchester City,€59.5M,ATT,63.96,75.0,84.0,92.0,78.0,48.0,86.0,83.0,9.0,172.72
210257,Ederson,24,Brazil,86,Manchester City,€41.5M,GK,86.18,14.0,64.0,23.0,41.0,68.0,67.0,20.0,87.0,187.96
208722,S. Mané,26,Senegal,86,Liverpool,€52M,MID,68.95,84.0,95.0,87.0,84.0,67.0,82.0,87.0,14.0,175.26
203376,V. van Dijk,26,Netherlands,86,Liverpool,€44.5M,DEF,92.08,52.0,74.0,70.0,71.0,92.0,59.0,41.0,11.0,193.04
202652,R. Sterling,23,England,86,Manchester City,€56.5M,ATT,68.95,77.0,95.0,88.0,78.0,52.0,77.0,87.0,9.0,170.18
201942,Roberto Firmino,26,Brazil,86,Liverpool,€53M,MID,76.2,87.0,78.0,87.0,90.0,74.0,85.0,87.0,10.0,180.34
201535,R. Varane,25,France,86,Real Madrid,€50M,DEF,81.19,40.0,83.0,57.0,73.0,84.0,56.0,44.0,14.0,190.5
199556,M. Verratti,25,Italy,86,Paris Saint-Germain,€55M,MID,59.87,60.0,69.0,90.0,77.0,52.0,87.0,71.0,10.0,165.1
191043,Alex Sandro,27,Brazil,86,Juventus,€36.5M,DEF,79.83,55.0,83.0,80.0,92.0,79.0,70.0,70.0,5.0,180.34
190483,Douglas Costa,27,Brazil,86,Juventus,€46.5M,MID,69.85,67.0,97.0,92.0,78.0,63.0,84.0,76.0,5.0,172.72
189596,T. Müller,28,Germany,86,FC Bayern München,€45M,MID,74.84,87.0,73.0,75.0,87.0,68.0,85.0,92.0,14.0,185.42
189509,Thiago,27,Spain,86,FC Bayern München,€45.5M,MID,69.85,69.0,78.0,90.0,75.0,59.0,86.0,79.0,13.0,175.26
188350,M. Reus,29,Germany,86,Borussia Dortmund,€43.5M,MID,71.21,87.0,86.0,87.0,73.0,67.0,86.0,88.0,11.0,180.34
184432,Azpilicueta,28,Spain,86,Chelsea,€35M,DEF,76.2,46.0,76.0,69.0,87.0,71.0,74.0,62.0,5.0,177.8
184344,L. Bonucci,31,Italy,86,Juventus,€30M,DEF,84.82,48.0,57.0,69.0,71.0,83.0,74.0,38.0,4.0,190.5
184087,T. Alderweireld,29,Belgium,86,Tottenham Hotspur,€39M,DEF,81.19,45.0,61.0,62.0,74.0,79.0,67.0,58.0,14.0,185.42
180206,M. Pjanić,28,Bosnia Herzegovina,86,Juventus,€44M,MID,72.12,60.0,66.0,86.0,78.0,66.0,88.0,70.0,8.0,177.8
177509,M. Benatia,31,Morocco,86,Juventus,€30M,DEF,93.89,47.0,65.0,64.0,69.0,91.0,47.0,38.0,11.0,187.96
176635,M. Özil,29,Germany,86,Arsenal,€43.5M,MID,76.2,73.0,72.0,84.0,69.0,57.0,91.0,83.0,14.0,180.34
135507,Fernandinho,33,Brazil,86,Manchester City,€18M,MID,67.13,69.0,68.0,77.0,79.0,76.0,75.0,70.0,7.0,177.8
41,Iniesta,34,Spain,86,Vissel Kobe,€21.5M,ATT,68.04,70.0,70.0,90.0,55.0,58.0,93.0,81.0,7.0,170.18
232363,M. Škriniar,23,Slovakia,85,Inter,€46.5M,DEF,79.83,42.0,70.0,59.0,77.0,83.0,57.0,30.0,12.0,187.96
223848,S. Milinković-Savić,23,Serbia,85,Lazio,€50.5M,MID,76.2,80.0,68.0,86.0,85.0,88.0,85.0,79.0,7.0,190.5
220834,Marco Asensio,22,Spain,85,Real Madrid,€54M,ATT,76.2,82.0,85.0,86.0,76.0,61.0,84.0,82.0,10.0,182.88
216594,N. Fekir,24,France,85,Olympique Lyonnais,€50M,MID,74.84,82.0,79.0,90.0,80.0,82.0,81.0,81.0,15.0,172.72
212831,Alisson,25,Brazil,85,Liverpool,€36.5M,GK,91.17,13.0,54.0,27.0,32.0,78.0,66.0,13.0,88.0,190.5
212622,J. Kimmich,23,Germany,85,FC Bayern München,€40.5M,MID,69.85,66.0,78.0,80.0,85.0,65.0,79.0,80.0,15.0,175.26
208421,Saúl,23,Spain,85,Atlético Madrid,€50.5M,MID,77.11,78.0,74.0,83.0,86.0,77.0,82.0,82.0,9.0,182.88
204485,R. Mahrez,27,Algeria,85,Manchester City,€40.5M,ATT,67.13,80.0,88.0,91.0,76.0,54.0,81.0,80.0,6.0,177.8
197445,D. Alaba,26,Austria,85,FC Bayern München,€38M,DEF,76.2,63.0,79.0,79.0,87.0,71.0,77.0,76.0,9.0,180.34
193747,Koke,26,Spain,85,Atlético Madrid,€45M,MID,73.94,72.0,71.0,82.0,90.0,79.0,87.0,84.0,13.0,175.26
193301,A. Lacazette,27,France,85,Arsenal,€45M,ATT,73.03,88.0,81.0,85.0,79.0,73.0,76.0,86.0,6.0,175.26
192774,K. Manolas,27,Greece,85,Roma,€37.5M,DEF,83.01,10.0,80.0,54.0,76.0,82.0,22.0,25.0,12.0,187.96
192366,N. Otamendi,30,Argentina,85,Manchester City,€28.5M,DEF,81.19,54.0,57.0,51.0,67.0,80.0,53.0,51.0,12.0,182.88
189513,Parejo,29,Spain,85,Valencia CF,€37M,MID,73.94,79.0,51.0,78.0,78.0,72.0,86.0,81.0,8.0,182.88
187961,Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,€37M,MID,71.21,81.0,73.0,82.0,92.0,81.0,78.0,84.0,8.0,182.88
186153,W. Szczęsny,28,Poland,85,Juventus,€32M,GK,89.81,12.0,51.0,11.0,45.0,65.0,48.0,14.0,87.0,195.58
184941,A. Sánchez,29,Chile,85,Manchester United,€37.5M,ATT,73.94,80.0,86.0,87.0,83.0,72.0,82.0,84.0,13.0,170.18
184267,Y. Brahimi,28,Algeria,85,FC Porto,€39M,MID,66.22,76.0,87.0,93.0,85.0,49.0,79.0,83.0,7.0,175.26
183907,J. Boateng,29,Germany,85,FC Bayern München,€30M,DEF,89.81,34.0,67.0,64.0,69.0,91.0,75.0,47.0,5.0,193.04
181872,A. Vidal,31,Chile,85,FC Barcelona,€26M,MID,74.84,75.0,60.0,76.0,83.0,79.0,80.0,80.0,4.0,180.34
181458,I. Perišić,29,Croatia,85,Inter,€37.5M,MID,79.83,79.0,84.0,84.0,89.0,78.0,79.0,85.0,6.0,185.42
180930,E. Džeko,32,Bosnia Herzegovina,85,Roma,€30.5M,ATT,83.91,89.0,65.0,76.0,76.0,80.0,74.0,89.0,15.0,193.04
179846,S. Khedira,31,Germany,85,Juventus,€33M,MID,89.81,72.0,54.0,81.0,78.0,87.0,82.0,79.0,8.0,187.96
179844,Diego Costa,29,Spain,85,Atlético Madrid,€38.5M,ATT,86.18,87.0,74.0,77.0,76.0,92.0,74.0,87.0,11.0,187.96
178518,R. Nainggolan,30,Belgium,85,Inter,€35.5M,MID,77.11,75.0,78.0,80.0,93.0,77.0,76.0,86.0,11.0,175.26
171919,Naldo,35,Brazil,85,FC Schalke 04,€9M,DEF,91.17,57.0,60.0,60.0,61.0,83.0,59.0,53.0,14.0,198.12
170890,B. Matuidi,31,France,85,Juventus,€26M,MID,74.84,64.0,79.0,78.0,94.0,76.0,76.0,72.0,14.0,180.34
168609,Miranda,33,Brazil,85,Inter,€15.5M,DEF,78.02,43.0,66.0,67.0,65.0,79.0,58.0,43.0,12.0,185.42
165153,K. Benzema,30,France,85,Real Madrid,€37M,ATT,81.19,81.0,76.0,83.0,75.0,80.0,85.0,86.0,7.0,185.42
164169,Filipe Luís,32,Brazil,85,Atlético Madrid,€21.5M,DEF,73.94,59.0,76.0,77.0,89.0,74.0,70.0,71.0,5.0,182.88
139720,V. Kompany,32,Belgium,85,Manchester City,€22M,DEF,84.82,45.0,52.0,63.0,66.0,87.0,59.0,41.0,6.0,190.5
120533,Pepe,35,Portugal,85,Beşiktaş JK,€9M,DEF,81.19,46.0,65.0,58.0,60.0,86.0,48.0,40.0,10.0,187.96
41236,Z. Ibrahimović,36,Sweden,85,LA Galaxy,€14M,ATT,94.8,86.0,58.0,79.0,61.0,86.0,79.0,85.0,12.0,195.58
220793,D. Sánchez,22,Colombia,84,Tottenham Hotspur,€34M,DEF,78.93,40.0,72.0,63.0,76.0,83.0,49.0,34.0,15.0,187.96
216460,J. Giménez,23,Uruguay,84,Atlético Madrid,€34M,DEF,79.83,37.0,69.0,47.0,67.0,85.0,27.0,24.0,15.0,185.42
212462,Alex Telles,25,Brazil,84,FC Porto,€32M,DEF,71.21,65.0,84.0,82.0,92.0,68.0,74.0,76.0,14.0,180.34
212218,A. Laporte,24,France,84,Manchester City,€34M,DEF,84.82,45.0,62.0,59.0,67.0,82.0,57.0,54.0,5.0,187.96
212198,Bruno Fernandes,23,Portugal,84,Sporting CP,€40.5M,MID,68.95,73.0,79.0,83.0,89.0,67.0,86.0,79.0,14.0,177.8
212190,N. Süle,22,Germany,84,FC Bayern München,€36.5M,DEF,97.07,20.0,52.0,42.0,65.0,94.0,30.0,26.0,15.0,195.58
211300,A. Martial,22,France,84,Manchester United,€42.5M,ATT,76.2,84.0,88.0,87.0,75.0,75.0,73.0,83.0,11.0,182.88
211117,D. Alli,22,England,84,Tottenham Hotspur,€42.5M,MID,79.83,83.0,73.0,83.0,90.0,71.0,85.0,86.0,8.0,187.96
209499,Fabinho,24,Brazil,84,Liverpool,€34M,MID,78.02,66.0,69.0,76.0,92.0,79.0,75.0,70.0,8.0,187.96
207865,Marquinhos,24,Brazil,84,Paris Saint-Germain,€35.5M,MID,74.84,33.0,73.0,59.0,75.0,74.0,51.0,46.0,13.0,182.88
207566,William Carvalho,26,Portugal,84,Real Betis,€31.5M,MID,83.01,52.0,49.0,80.0,84.0,90.0,83.0,64.0,14.0,187.96
205498,Jorginho,26,Italy,84,Chelsea,€38M,MID,67.13,57.0,75.0,82.0,79.0,66.0,87.0,72.0,8.0,180.34
204970,F. Thauvin,25,France,84,Olympique de Marseille,€39M,MID,69.85,81.0,87.0,85.0,83.0,66.0,80.0,83.0,9.0,177.8
204963,Carvajal,26,Spain,84,Real Madrid,€31.5M,DEF,73.03,41.0,79.0,76.0,84.0,74.0,57.0,61.0,15.0,172.72
202556,M. Depay,24,Netherlands,84,Olympique Lyonnais,€42M,ATT,78.02,79.0,87.0,85.0,79.0,80.0,82.0,83.0,10.0,175.26
200104,H. Son,25,Korea Republic,84,Tottenham Hotspur,€37M,MID,64.86,85.0,88.0,88.0,85.0,63.0,80.0,85.0,10.0,182.88
199482,A. Lopes,27,Portugal,84,Olympique Lyonnais,€25M,GK,81.19,18.0,63.0,15.0,36.0,73.0,48.0,9.0,88.0,182.88
198176,S. de Vrij,26,Netherlands,84,Inter,€31.5M,DEF,78.02,25.0,67.0,63.0,66.0,80.0,59.0,32.0,13.0,187.96
198009,M. Perin,25,Italy,84,Juventus,€29.5M,GK,77.11,11.0,57.0,19.0,30.0,52.0,44.0,12.0,90.0,187.96
193082,J. Cuadrado,30,Colombia,84,Juventus,€29.5M,MID,72.12,67.0,89.0,90.0,78.0,61.0,76.0,78.0,9.0,177.8
192629,Iago Aspas,30,Spain,84,RC Celta,€30M,ATT,67.13,88.0,85.0,86.0,75.0,60.0,75.0,86.0,13.0,175.26
192563,B. Leno,26,Germany,84,Arsenal,€27M,GK,83.01,9.0,46.0,16.0,43.0,68.0,54.0,7.0,82.0,190.5
191202,N. Matić,29,Serbia,84,Manchester United,€24M,MID,84.82,64.0,52.0,80.0,84.0,85.0,73.0,69.0,9.0,193.04
190941,L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen,€22M,GK,84.82,11.0,38.0,10.0,34.0,55.0,53.0,9.0,88.0,193.04
190584,Illarramendi,28,Spain,84,Real Sociedad,€31M,MID,74.84,72.0,66.0,78.0,77.0,68.0,86.0,79.0,12.0,177.8
188377,K. Walker,28,England,84,Manchester City,€24.5M,DEF,69.85,51.0,86.0,79.0,89.0,75.0,69.0,67.0,8.0,182.88
186942,I. Gündoğan,27,Germany,84,Manchester City,€32M,MID,79.83,73.0,67.0,85.0,69.0,72.0,86.0,79.0,13.0,180.34
185020,José Callejón,31,Spain,84,Napoli,€27.5M,MID,73.03,78.0,88.0,82.0,91.0,55.0,78.0,88.0,11.0,177.8
183898,A. Di María,30,Argentina,84,Paris Saint-Germain,€29.5M,MID,68.95,72.0,85.0,86.0,73.0,60.0,82.0,82.0,11.0,180.34
181783,M. Mandžukić,32,Croatia,84,Juventus,€25M,ATT,84.82,84.0,67.0,76.0,83.0,85.0,74.0,90.0,15.0,190.5
180403,Willian,29,Brazil,84,Chelsea,€30.5M,ATT,78.02,77.0,91.0,88.0,85.0,60.0,83.0,80.0,13.0,175.26
178750,Sergio Asenjo,29,Spain,84,Villarreal CF,€24M,GK,87.09,14.0,59.0,15.0,41.0,73.0,46.0,12.0,84.0,187.96
178562,E. Banega,30,Argentina,84,Sevilla FC,€29M,MID,71.21,66.0,68.0,84.0,74.0,67.0,88.0,75.0,10.0,175.26
177413,A. Witsel,29,Belgium,84,Borussia Dortmund,€24M,MID,81.19,71.0,67.0,78.0,86.0,82.0,79.0,75.0,7.0,187.96
177388,D. Payet,31,France,84,Olympique de Marseille,€27.5M,MID,77.11,78.0,75.0,86.0,73.0,72.0,87.0,79.0,12.0,175.26
176769,Jonas,34,Brazil,84,SL Benfica,€16.5M,ATT,73.94,88.0,65.0,84.0,66.0,63.0,83.0,87.0,5.0,180.34
172879,Sokratis,30,Greece,84,Arsenal,€23M,DEF,84.82,44.0,64.0,58.0,69.0,86.0,45.0,49.0,5.0,185.42
167628,S. Ruffier,31,France,84,AS Saint-Étienne,€19M,GK,92.99,11.0,45.0,12.0,37.0,76.0,49.0,12.0,82.0,187.96
167397,Falcao,32,Colombia,84,AS Monaco,€25M,ATT,72.12,86.0,69.0,75.0,68.0,75.0,70.0,88.0,5.0,177.8
163587,K. Schmeichel,31,Denmark,84,Leicester City,€19M,GK,88.9,12.0,59.0,12.0,34.0,64.0,59.0,13.0,88.0,187.96
157481,Raúl Albiol,32,Spain,84,Napoli,€18M,DEF,82.1,27.0,54.0,59.0,55.0,82.0,57.0,30.0,8.0,190.5
143076,A. Gómez,30,Argentina,84,Atalanta,€30M,ATT,68.04,76.0,94.0,89.0,75.0,48.0,85.0,81.0,6.0,165.1
137186,A. Barzagli,37,Italy,84,Juventus,€4.2M,DEF,87.09,21.0,61.0,64.0,53.0,83.0,62.0,28.0,4.0,187.96
20775,Quaresma,34,Portugal,84,Beşiktaş JK,€15.5M,MID,67.13,67.0,84.0,89.0,65.0,55.0,84.0,78.0,15.0,175.26
9014,A. Robben,34,Netherlands,84,FC Bayern München,€15.5M,MID,79.83,85.0,83.0,89.0,64.0,67.0,80.0,84.0,15.0,180.34
231443,O. Dembélé,21,France,83,FC Barcelona,€40M,ATT,67.13,78.0,93.0,90.0,73.0,46.0,84.0,79.0,13.0,177.8
230666,Gabriel Jesus,21,Brazil,83,Manchester City,€41M,ATT,73.03,84.0,87.0,86.0,84.0,68.0,77.0,88.0,15.0,175.26
230481,Ronaldo Cabrais,26,Brazil,83,Grêmio,€28M,ATT,74.84,74.0,88.0,85.0,86.0,70.0,83.0,82.0,13.0,177.8
230375,Josué Chiamulera,26,Brazil,83,Grêmio,€22.5M,DEF,79.83,38.0,83.0,56.0,76.0,73.0,42.0,38.0,10.0,185.42
230294,Louri Beretta,26,Brazil,83,Atlético Mineiro,€28.5M,ATT,83.01,85.0,79.0,75.0,56.0,87.0,58.0,83.0,20.0,187.96
225850,P. Kimpembe,22,France,83,Paris Saint-Germain,€30.5M,DEF,79.83,31.0,75.0,58.0,80.0,84.0,60.0,39.0,9.0,187.96
220971,N. Keïta,23,Guinea,83,Liverpool,€34M,MID,63.96,74.0,78.0,88.0,82.0,58.0,81.0,74.0,9.0,172.72
219683,C. Tolisso,23,France,83,FC Bayern München,€34M,MID,81.19,75.0,75.0,77.0,87.0,77.0,80.0,79.0,14.0,180.34
213565,T. Lemar,22,France,83,Atlético Madrid,€35.5M,MID,62.14,75.0,86.0,85.0,79.0,63.0,85.0,77.0,14.0,170.18
213345,K. Coman,22,France,83,FC Bayern München,€34M,MID,71.21,76.0,95.0,88.0,76.0,61.0,75.0,79.0,5.0,177.8
213331,J. Tah,22,Germany,83,Bayer 04 Leverkusen,€29.5M,DEF,97.07,20.0,64.0,55.0,63.0,93.0,61.0,27.0,14.0,195.58
212523,Anderson Talisca,24,Brazil,83,Guangzhou Evergrande Taobao FC,€36.5M,MID,79.83,80.0,77.0,82.0,76.0,72.0,81.0,86.0,10.0,190.5
212188,T. Werner,22,Germany,83,RB Leipzig,€34.5M,ATT,74.84,87.0,93.0,83.0,83.0,59.0,61.0,85.0,9.0,180.34
210008,A. Rabiot,23,France,83,Paris Saint-Germain,€33M,MID,79.83,69.0,73.0,79.0,82.0,80.0,80.0,76.0,15.0,193.04
209658,L. Goretzka,23,Germany,83,FC Bayern München,€34M,MID,78.93,72.0,84.0,81.0,86.0,70.0,82.0,77.0,9.0,187.96
208808,Q. Promes,26,Netherlands,83,Sevilla FC,€30.5M,MID,72.12,86.0,90.0,84.0,83.0,61.0,81.0,79.0,13.0,175.26
208670,H. Ziyech,25,Morocco,83,Ajax,€32.5M,MID,64.86,68.0,76.0,83.0,86.0,59.0,88.0,75.0,14.0,180.34
208618,Lucas Vázquez,27,Spain,83,Real Madrid,€27M,ATT,69.85,73.0,84.0,82.0,90.0,57.0,83.0,81.0,7.0,172.72
208418,Y. Carrasco,24,Belgium,83,Dalian YiFang FC,€33M,MID,73.03,79.0,89.0,88.0,74.0,59.0,71.0,81.0,10.0,180.34
208093,Gerard Moreno,26,Spain,83,Villarreal CF,€32M,ATT,77.11,83.0,77.0,78.0,72.0,74.0,58.0,83.0,10.0,180.34
207863,Felipe,29,Brazil,83,FC Porto,€20M,DEF,86.18,39.0,60.0,57.0,78.0,86.0,50.0,34.0,7.0,190.5
207410,M. Kovačić,24,Croatia,83,Chelsea,€35M,MID,78.02,62.0,84.0,88.0,82.0,65.0,88.0,69.0,7.0,175.26
206585,Kepa,23,Spain,83,Chelsea,€28.5M,GK,84.82,11.0,34.0,10.0,37.0,51.0,55.0,15.0,84.0,185.42
206545,Manu Trigueros,26,Spain,83,Villarreal CF,€30M,MID,74.84,71.0,68.0,80.0,77.0,63.0,84.0,77.0,8.0,177.8
206113,S. Gnabry,22,Germany,83,FC Bayern München,€34.5M,ATT,74.84,81.0,92.0,87.0,68.0,68.0,74.0,80.0,7.0,175.26
204935,J. Pickford,24,England,83,Everton,€25M,GK,77.11,19.0,53.0,14.0,45.0,70.0,68.0,18.0,86.0,185.42
204639,S. Savić,27,Montenegro,83,Atlético Madrid,€26M,DEF,78.93,34.0,55.0,47.0,58.0,77.0,41.0,29.0,12.0,187.96
203574,J. Stones,24,England,83,Manchester City,€28.5M,DEF,69.85,29.0,67.0,69.0,79.0,77.0,67.0,48.0,8.0,187.96
202651,Suso,24,Spain,83,Milan,€33M,ATT,69.85,70.0,83.0,88.0,77.0,56.0,84.0,76.0,9.0,175.26
202166,J. Draxler,24,Germany,83,Paris Saint-Germain,€32.5M,MID,77.11,78.0,78.0,88.0,69.0,66.0,84.0,79.0,8.0,187.96
201995,Felipe Anderson,25,Brazil,83,West Ham United,€31.5M,MID,69.85,71.0,93.0,90.0,72.0,53.0,79.0,73.0,7.0,175.26
